Tahun,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025
Uaraian,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target,Realisasi,Capaian%,Target
v. Pendapatan Pajak lainnya,2198.30,2050.20,93.26,2589.70,2287.40,88.33,2719.50,2737.70,100.67,3353.70,3034.40,90.48,3250.00,3116.00,95.88,3841.90,3968.80,103.30,68075.30,3928.20,5.77,5632.00,4210.90,74.77,5402.00,4937.10,91.39,5179.60,6293.40,121.50,11729.50,5568.30,47.47,7414.90,17154.50,231.35,8700.00,15672.60,180.14,9691.80,16741.60,172.74,8608.70,7700.00,89.44,7485.70,6790.80,90.72,12430.50,11126.00,89.51,11381.40,7686.10,67.53,8699.50,9729.80,111.84,8279.79,8744.11,105.61,7795.88
vi. Pendapatan Cukai,32244.80,33256.20,103.14,38522.60,37772.10,98.05,42034.70,44679.50,106.29,45717.50,51251.80,112.11,54545.00,56718.50,103.98,59265.90,66165.90,111.64,4193.80,77010.00,1836.28,83266.60,95027.90,114.12,104729.70,108452.10,103.55,117450.20,118085.50,100.54,145739.90,144641.30,99.25,148091.20,143525.00,96.92,153165.00,153288.10,100.08,155400.00,159588.60,102.70,165501.00,172390.00,104.16,172197.20,176309.30,102.39,180000.00,195517.80,108.62,220000.00,226880.80,103.13,245449.80,221851.10,90.39,224523.74,226371.33,100.82,244198.42
b. Pendapatan Pajak Perdagangan Internasional,17570.40,15239.10,86.73,14826.70,13231.50,89.24,17459.90,20936.80,119.91,28979.20,36342.10,125.41,20023.10,18670.40,93.24,22561.40,28914.50,128.16,46939.90,54121.50,115.30,47944.10,49656.30,103.57,48421.10,47456.60,98.01,56280.40,43648.10,77.55,49256.90,34940.00,70.93,35871.50,35470.70,98.88,35979.00,39213.60,108.99,38700.00,45881.80,118.56,43321.80,41051.00,94.76,33486.90,36721.20,109.66,34960.60,73695.40,210.80,79030.00,90897.70,115.02,57741.10,64489.90,111.69,71934.26,73857.69,102.67,57405.98
i. Bea Masuk,16590.50,14920.90,89.94,13583.00,12140.40,89.38,14417.60,16699.40,115.83,17820.90,22763.80,127.74,18623.50,18105.50,97.22,17106.80,20016.80,117.01,21500.80,25265.90,117.51,24737.90,28418.40,114.88,30811.70,31621.30,102.63,35676.00,32319.10,90.59,37203.90,31212.80,83.90,33371.50,32472.10,97.30,33279.00,35066.20,105.37,35700.00,39116.70,109.57,38899.30,37514.00,96.44,31833.80,32443.50,101.92,33172.70,39122.70,117.94,42340.00,51077.70,120.64,47528.50,50891.80,107.08,52443.73,52965.32,100.99,52935.41
ii. Bea Keluar,979.90,318.20,32.47,1243.70,1091.10,87.73,3042.30,4237.40,139.28,11158.30,13578.30,121.69,1399.60,565.00,40.37,5454.60,8897.70,163.12,25439.10,28855.60,113.43,23206.20,21237.90,91.52,17609.40,15835.40,89.93,20604.40,11329.00,54.98,12053.00,3727.10,30.92,2500.00,2998.60,119.94,2700.00,4147.40,153.61,3000.00,6765.10,225.50,4422.50,3537.00,79.98,1653.20,4277.70,258.75,1787.90,34572.70,1933.70,36690.00,39819.90,108.53,10212.70,13598.20,133.15,19490.53,20892.37,107.19,4470.57
2. Penerimaan Negara Bukan Pajak,180697.40,146888.40,81.29,229829.30,226950.00,98.75,198253.70,215119.70,108.51,282814.40,320604.60,113.36,218037.60,227174.40,104.19,247176.40,268941.90,108.81,286567.30,331471.80,115.67,341142.60,351804.70,103.13,349156.70,354751.90,101.60,386946.40,398590.50,103.01,269075.40,255628.50,95.00,245083.60,261976.40,106.89,260242.20,311216.30,119.59,275428.00,409320.20,148.61,378297.80,409000.00,108.12,294141.00,343814.20,116.89,298204.20,458493.00,153.75,481631.20,595594.60,123.66,441391.80,612537.30,138.77,549137.45,579521.11,105.53,513635.04
a. Penerimaan SDA,144361.20,110467.30,76.52,165694.90,167473.70,101.07,115053.30,132892.60,115.51,192789.40,224463.00,116.43,138653.40,138959.20,100.22,164726.70,168825.40,102.49,191976.00,213823.40,111.38,217158.90,225844.00,104.00,203730.00,226406.20,111.13,241114.60,240848.30,99.89,118919.10,100971.90,84.91,90524.30,64901.90,71.70,95643.10,111132.00,116.19,103674.90,180592.60,174.19,190754.80,154900.00,81.20,79086.90,97225.10,122.93,104108.80,149489.40,143.59,226518.50,268770.90,118.65,195975.40,254203.00,129.71,235522.50,229220.83,97.32,217964.17
i. Penerimaan SDA Migas,138560.20,103762.00,74.89,159788.50,158086.10,98.93,107718.90,124783.70,115.84,182946.90,211617.00,115.67,127748.20,125752.00,98.44,151719.90,152733.20,100.67,173167.30,193490.60,111.74,198311.10,205823.50,103.79,180610.40,203629.40,112.75,211668.20,216876.10,102.46,81364.90,78170.50,96.07,68688.10,44093.80,64.19,72208.00,81842.90,113.34,80349.00,142789.20,177.71,159778.30,121100.00,75.79,53294.90,69080.20,129.62,74999.70,96616.40,128.82,139098.40,148698.90,106.90,131169.40,116178.60,88.57,121488.81,110916.91,91.30,120993.01
a) Pendapatan Minyak bumi,102196.30,72822.30,71.26,122963.80,125145.40,101.77,78234.60,93604.50,119.65,149111.30,169022.20,113.35,91491.00,90056.00,98.43,112515.10,111814.90,99.38,123051.00,141303.50,114.83,150847.20,144717.10,95.94,129339.20,135329.20,104.63,154750.40,139174.30,89.93,61584.00,47987.40,77.92,51328.10,31448.00,61.27,57406.80,58203.00,101.39,59582.70,101486.70,170.33,118606.70,83600.00,70.49,40385.90,44868.80,111.10,57934.20,64998.80,112.19,106487.90,111992.90,105.17,96137.00,87408.90,90.92,89248.05,85879.85,96.23,89031.59
b) Pendapatan Gas alam,36363.90,30939.80,85.08,36824.70,32940.70,89.45,29484.40,31179.20,105.75,33835.60,42594.70,125.89,36257.10,35696.00,98.45,39204.80,40918.30,104.37,50116.20,52187.10,104.13,47463.90,61106.40,128.74,51271.20,68300.20,133.21,56917.80,77701.80,136.52,19780.90,30183.00,152.59,17360.00,12645.70,72.84,14801.10,23639.90,159.72,20766.30,41302.60,198.89,41171.60,37500.00,91.08,12909.00,24211.30,187.55,17065.50,31617.60,185.27,32610.50,36705.90,112.56,35032.40,28769.70,82.12,32240.76,25037.06,77.66,31961.42
